year,quarter,hpi,log_hpi,ret,date
1991,2,100.0,4.605170185988092,0.0,1991-04-01
1991,3,100.17,4.606868742623673,0.001698556635581383,1991-07-01
1991,4,101.05,4.61561544384963,0.008746701225956777,1991-10-01
1992,1,102.27,4.627616374817921,0.012000930968291357,1992-01-01
1992,2,102.12,4.6261485923732835,-0.0014677824446378551,1992-04-01
1992,3,102.96,4.634340563287871,0.008191970914587898,1992-07-01
1992,4,103.77,4.642176911617187,0.00783634832931579,1992-10-01
1993,1,103.81,4.642562305205154,0.0003853935879671866,1993-01-01
1993,2,104.85,4.652530757347929,0.009968452142774531,1993-04-01
1993,3,105.65,4.660131744062066,0.007600986714137115,1993-07-01
1993,4,106.65,4.669552444917359,0.00942070085529334,1993-10-01
1994,1,107.61,4.678513580212301,0.008961135294941691,1994-01-01
1994,2,108.47,4.686473637052126,0.007960056839825036,1994-04-01
1994,3,109.13,4.692539832124998,0.006066195072872205,1994-07-01
1994,4,109.67,4.697475856772117,0.004936024647118842,1994-10-01
1995,1,110.33,4.703475874772215,0.00600001800009764,1995-01-01
1995,2,111.0,4.709530201312334,0.00605432654011917,1995-04-01
1995,3,112.0,4.718498871295094,0.008968669982760247,1995-07-01
1995,4,112.68,4.724551943008172,0.0060530717130777845,1995-10-01
1996,1,113.65,4.7331235502985525,0.008571607290380534,1996-01-01
1996,2,114.38,4.73952623848717,0.006402688188617667,1996-04-01
1996,3,115.1,4.745801315727837,0.006275077240666782,1996-07-01
1996,4,115.78,4.751691838650858,0.00589052292302128,1996-10-01
1997,1,116.5,4.757891273005756,0.006199434354897448,1997-01-01
1997,2,117.46,4.766097850094374,0.008206577088618161,1997-04-01
1997,3,118.31,4.7733082982655715,0.007210448171197648,1997-07-01
1997,4,119.58,4.783985603452758,0.010677305187186903,1997-10-01
1998,1,121.08,4.7964514841535175,0.012465880700759158,1998-01-01
1998,2,122.74,4.810068296960951,0.013616812807433654,1998-04-01
1998,3,124.35,4.823100170249414,0.01303187328846267,1998-07-01
1998,4,126.39,4.8393723646590345,0.01627219440962069,1998-10-01
1999,1,128.22,4.853747538559111,0.01437517390007681,1999-01-01
1999,2,130.12,4.86845710160515,0.014709563046038987,1999-04-01
1999,3,132.13,4.883786286426125,0.015329184820974895,1999-07-01
1999,4,134.1,4.898585790287632,0.01479950386150719,1999-10-01
2000,1,136.46,4.9160315313872776,0.01744574109964514,2000-01-01
2000,2,138.76,4.932745822101549,0.016714290714271662,2000-04-01
2000,3,140.93,4.9482633132034195,0.015517491101870284,2000-07-01
2000,4,143.4,4.96563792816552,0.017374614962100132,2000-10-01
2001,1,146.04,4.983880556787436,0.018242628621916168,2001-01-01
2001,2,148.39,4.999843943018035,0.015963386230598786,2001-04-01
2001,3,150.65,5.01495926557631,0.015115322558275857,2001-07-01
2001,4,153.03,5.0306339806029445,0.01567471502663409,2001-10-01
2002,1,155.54,5.046902933266797,0.016268952663852865,2002-01-01
2002,2,158.4,5.0651234793803255,0.01822054611352808,2002-04-01
2002,3,161.43,5.084071612169438,0.018948132789112115,2002-07-01
2002,4,164.67,5.103943471229908,0.019871859060470065,2002-10-01
2003,1,167.56,5.121341496078834,0.017398024848926497,2003-01-01
2003,2,170.24,5.13720920615328,0.01586771007444554,2003-04-01
2003,3,173.6,5.15675380222625,0.01954459607297032,2003-07-01
2003,4,177.51,5.179026945356712,0.02227314313046236,2003-10-01
2004,1,181.45,5.200980133659079,0.021953188302366478,2004-01-01
2004,2,186.02,5.225854194814321,0.024874061155242266,2004-04-01
2004,3,190.82,5.2513305753237,0.02547638050937895,2004-07-01
2004,4,195.52,5.275662675983231,0.02433210065953073,2004-10-01
2005,1,200.37,5.300165657405654,0.024502981422423353,2005-01-01
2005,2,205.68,5.326321562957634,0.02615590555198022,2005-04-01
2005,3,211.1,5.352331954854275,0.026010391896640783,2005-07-01
2005,4,215.58,5.373332070353483,0.02100011549920744,2005-10-01
2006,1,218.73,5.387838092486448,0.01450602213296559,2006-01-01
2006,2,220.24,5.394717860834352,0.006879768347904047,2006-04-01
2006,3,220.58,5.396260440878001,0.0015425800436483783,2006-07-01
2006,4,221.62,5.400964203508179,0.004703762630178687,2006-10-01
2007,1,222.96,5.406992383173693,0.006028179665513278,2007-01-01
2007,2,222.33,5.404162764631377,-0.0028296185423153375,2007-04-01
2007,3,219.48,5.391261112190775,-0.012901652440602263,2007-07-01
2007,4,215.47,5.372821688716142,-0.01843942347463301,2007-10-01
2008,1,210.51,5.349533157932307,-0.023288530783834638,2008-01-01
2008,2,204.62,5.321154600450794,-0.02837855748151341,2008-04-01
2008,3,199.44,5.295513439215302,-0.02564116123549187,2008-07-01
2008,4,193.58,5.265690863720943,-0.02982257549435907,2008-10-01
2009,1,192.39,5.259524561828881,-0.0061663018920619095,2009-01-01
2009,2,189.7,5.245443876940969,-0.014080684887912476,2009-04-01
2009,3,188.83,5.240847139393487,-0.004596737547482022,2009-07-01
2009,4,188.74,5.240370406593187,-0.00047673280029947307,2009-10-01
2010,1,187.0,5.231108616854587,-0.009261789738600257,2010-01-01
2010,2,186.03,5.225907951029896,-0.005200665824690809,2010-04-01
2010,3,183.0,5.209486152841421,-0.016421798188474668,2010-07-01
2010,4,181.17,5.199435816987919,-0.010050335853502013,2010-10-01
2011,1,177.12,5.176827468960327,-0.022608348027592484,2011-01-01
2011,2,175.61,5.168265627187763,-0.008561841772563916,2011-04-01
2011,3,176.15,5.171335904787247,0.0030702775994839726,2011-07-01
2011,4,176.48,5.173207555505193,0.0018716507179457054,2011-10-01
2012,1,177.23,5.177448324067048,0.00424076856185529,2012-01-01
2012,2,180.0,5.19295685089021,0.015508526823162505,2012-04-01
2012,3,182.18,5.204995209316664,0.0120383584264534,2012-07-01
2012,4,184.94,5.220031448149492,0.015036238832828452,2012-10-01
2013,1,188.76,5.240476366858187,0.02044491870869436,2013-01-01
2013,2,192.52,5.260200044434908,0.019723677576721776,2013-04-01
2013,3,195.51,5.275611529012399,0.01541148457749042,2013-07-01
2013,4,197.48,5.285637313390662,0.010025784378263403,2013-10-01
2014,1,199.87,5.29766715520645,0.012029841815787812,2014-01-01
2014,2,201.58,5.306186324926732,0.008519169720281994,2014-04-01
2014,3,203.77,5.316991906812845,0.010805581886113025,2014-07-01
2014,4,206.4,5.329816033607408,0.012824126794562574,2014-10-01
2015,1,209.23,5.34343412535116,0.01361809174375228,2015-01-01
2015,2,211.92,5.356208844963814,0.012774719612654195,2015-04-01
2015,3,214.5,5.368309738368072,0.012100893404257462,2015-07-01
2015,4,217.53,5.382336772051611,0.01402703368353908,2015-10-01
2016,1,220.23,5.3946724547908,0.012335682739188947,2016-01-01
2016,2,223.41,5.409008648390664,0.014336193599864266,2016-04-01
2016,3,226.75,5.423848088995246,0.014839440604582421,2016-07-01
2016,4,230.25,5.439165675135416,0.015317586140169759,2016-10-01
2017,1,233.19,5.451853571910238,0.012687896774822072,2017-01-01
2017,2,237.21,5.4689458247509455,0.017092252840707367,2017-04-01
2017,3,240.8,5.483966713434666,0.015020888683720202,2017-07-01
2017,4,244.43,5.498928969355161,0.01496225592049516,2017-10-01
2018,1,248.96,5.5172922409900265,0.01836327163486562,2018-01-01
2018,2,251.85,5.528833672191659,0.011541431201632868,2018-04-01
2018,3,255.06,5.541498811598753,0.012665139407094017,2018-07-01
2018,4,257.84,5.552339237507183,0.010840425908429374,2018-10-01
2019,1,260.97,5.564405458187559,0.012066220680376105,2019-01-01
2019,2,264.03,5.57606273305383,0.01165727486627155,2019-04-01
2019,3,267.48,5.589044797185778,0.012982064131947801,2019-07-01
2019,4,271.95,5.6056182258689695,0.016573428683191338,2019-10-01
2020,1,277.2,5.624739267315748,0.01912104144677862,2020-01-01
2020,2,278.89,5.630817438845419,0.006078171529670939,2020-04-01
2020,3,289.36,5.667671587643842,0.0368541487984233,2020-07-01
2020,4,302.24,5.7112214037532,0.043549816109357486,2020-10-01
2021,1,313.18,5.746778105117297,0.035556701364097165,2021-01-01
2021,2,327.4,5.791182664937034,0.044404559819737344,2021-04-01
2021,3,342.08,5.83504462783668,0.043861962899645945,2021-07-01
2021,4,355.09,5.8723712784711255,0.03732665063444518,2021-10-01
2022,1,370.41,5.914610500247762,0.042239221776636526,2022-01-01
2022,2,382.3,5.946205640702368,0.03159514045460554,2022-04-01
2022,3,381.71,5.944661157993283,-0.0015444827090842494,2022-07-01
2022,4,382.88,5.947721624160063,0.003060466166779463,2022-10-01
2023,1,386.33,5.956691926506723,0.008970302346660297,2023-01-01
2023,2,393.88,5.976046294379601,0.01935436787287781,2023-04-01
2023,3,402.15,5.996825153350078,0.020778858970476932,2023-07-01
2023,4,407.43,6.009869138784087,0.013043985434008754,2023-10-01
2024,1,411.92,6.020829155737886,0.010960016953799112,2024-01-01
2024,2,417.06,6.03323009634045,0.012400940602564248,2024-04-01
2024,3,420.51,6.041468260343076,0.008238164002626114,2024-07-01
2024,4,426.21,6.054932182552095,0.013463922209019152,2024-10-01
2025,1,429.4,6.062388885444681,0.007456702892585376,2025-01-01
2025,2,429.3,6.062155975230515,-0.0002329102141658268,2025-04-01
